,Y,X,Beta,p-value
34402,6988 JT,9433 JT,0.030538443219401974,0.379380847528351
34403,6988 JT,9437 JT,0.040663838592810427,0.3507807000811153
34404,6988 JT,9501 JT,-0.018194381819612127,0.39128188087267357
34405,6988 JT,9502 JT,-0.03037443564009873,0.39642887288654605
34406,6988 JT,9503 JT,-0.014155372256692996,0.5993503631211342
34407,6988 JT,9531 JT,0.03283163023286599,0.4338898885996727
34408,6988 JT,9532 JT,-0.003480089692471964,0.9389653190011691
34409,6988 JT,9602 JT,-0.026331271809922008,0.514471176923819
34410,6988 JT,9613 JT,-0.01792672859231891,0.6199178235004656
34411,6988 JT,9681 JT,0.0024430941960268374,0.9311501994061206
34412,6988 JT,9735 JT,-0.03230737053596246,0.4663432533619286
34413,6988 JT,9766 JT,-0.02721535156386581,0.3915615751451267
34414,6988 JT,9983 JT,0.013976390000188103,0.6151428361063694
34415,6988 JT,9984 JT,0.04538363893460601,0.12571574757159143
34416,7003 JT,1332 JT,-0.006187037613613668,0.8202955244915497
34417,7003 JT,1333 JT,0.022687187552072365,0.6556272291845856
34418,7003 JT,1334 JT,-0.0632527462325879,0.4830538363432144
34419,7003 JT,1605 JT,0.04912522399469316,0.11548447524203269
34420,7003 JT,1721 JT,0.008901295757510882,0.8052543821727713
34421,7003 JT,1801 JT,0.014080914522645779,0.6822593606148579
34422,7003 JT,1802 JT,0.00961958666026709,0.7792612029090615
34423,7003 JT,1803 JT,0.007177746307863459,0.8349968544260973
34424,7003 JT,1808 JT,-0.10765794083575415,0.02225042854672313
34425,7003 JT,1812 JT,-0.012841340091432266,0.6987960807142732
34426,7003 JT,1925 JT,0.023125917169123548,0.5058251527088167
34427,7003 JT,1928 JT,0.006399418577970419,0.8650220070121685
34428,7003 JT,1963 JT,0.03486234833108911,0.25044939348897477
34429,7003 JT,2002 JT,-0.009156879888401604,0.818576721024345
34430,7003 JT,2269 JT,-0.058624414408416675,0.09271385638324012
34431,7003 JT,2282 JT,-0.0419412309454347,0.23926165363158444
